"date","value","volume"
"2012-05-03","3650","33995"
"2012-05-04","3888","1919"
"2012-05-07","3650","1155"
"2012-05-08","4000","82"
"2012-05-09","3700","1099"
"2012-05-09","3700","1099"
"2012-05-11","3650","1713"
"2012-05-14","3700","10"
"2012-05-15","3650","107"
"2012-05-17","3650","5"
"2012-05-18","3610","200"
"2012-05-21","3600","233"
"2012-05-23","3600","2"
"2012-05-25","3600","2"
"2012-05-29","3580","2"
"2012-05-30","3580","5"
"2012-05-31","3500","15"
"2012-06-05","3500","20"
"2012-06-06","3550","1052610"
"2012-06-07","3550","5"
"2012-06-12","3550","1057520"
"2012-06-12","3550","1057520"
"2012-06-14","3600","564"
"2012-06-21","3600","4"
"2012-06-25","3550","69"
"2012-06-26","3060","446"
"2012-07-20","3500","6"
"2012-07-23","3500","9"
"2012-07-24","4025","2"
"2012-08-03","3500","10"
"2012-08-08","3500","23"
"2012-08-09","3500","6"
"2012-08-13","3500","5000"
"2012-08-16","3500","20"
"2012-08-22","3422","5"
"2012-08-23","3422","2"
"2012-08-27","3500","826"
"2012-09-19","3470","148"
"2012-10-01","3450","8"
"2012-10-09","3400","5000"
"2012-10-10","3399","97"
"2012-10-12","3400","5000"
"2012-10-16","3300","34"
"2012-10-22","3150","13"
"2012-11-09","3150","54"
"2012-11-13","3100","2"
"2012-11-15","3100","12"
"2012-11-19","3065","286"
"2012-11-20","3100","946"
"2012-11-29","3100","20"
"2012-12-03","3350","2198"
"2012-12-04","3100","1000"
"2012-12-11","3200","4999"
"2012-12-13","3350","2360"
"2012-12-14","3350","3435"
"2012-12-17","3400","92"
"2012-12-18","3400","117"
"2012-12-19","3400","9492"
"2012-12-20","3400","10000"
"2012-12-21","3450","50"
"2012-12-26","3600","1000"
"2012-12-27","3620","499"
"2012-12-28","3624","155"
"2013-01-03","3800","300"
"2013-01-07","3700","2500"
"2013-01-08","3504","39097"
"2013-01-22","3600","20"
"2013-01-29","3600","29"
"2013-02-19","3700","5"
"2013-02-21","3600","10"
"2013-02-22","3600","16"
"2013-02-25","3600","4"
"2013-02-28","4013","11"
"2013-03-01","3900","5"
"2013-03-07","3400","5"
"2013-03-14","3400","90"
"2013-03-18","3400","8"
"2013-03-21","3500","154"
"2013-04-01","3400","2"
