"date","value","volume"
"2019-09-17","1398","4021"
"2019-09-18","1399","36918"
"2019-09-19","1397","53235"
"2019-09-20","1395","61580"
"2019-09-23","1399","62745"
"2019-09-24","1349","173186"
"2019-09-25","1299","149649"
"2019-09-26","1404","30198"
"2019-09-27","1409","1233"
"2019-09-30","1406","3558"
"2019-10-01","1350","274"
"2019-10-03","1398","987"
"2019-10-04","1329","1458"
"2019-10-07","1300","1982"
"2019-10-08","1314","2048"
"2019-10-09","1300","1846"
"2019-10-10","1300","15"
"2019-10-11","1254","1649"
"2019-10-14","1249","3052"
"2019-10-15","1250","275"
"2019-10-16","1292","18022"
"2019-10-17","1300","3400"
"2019-10-18","1346","20026"
"2019-10-21","1396","2883"
"2019-10-22","1400","20062"
"2019-10-23","1397","6946"
"2019-10-24","1408","10644"
"2019-10-25","1468","78125"
"2019-10-28","1472","38194"
"2019-10-29","1495","15833"
"2019-10-30","1517","21451"
"2019-10-31","1524","21613"
"2019-11-01","1539","39524"
"2019-11-04","1731","19141"
"2019-11-05","1777","18414"
"2019-11-06","1747","30830"
"2019-11-07","1744","15514"
"2019-11-08","1763","30802"
"2019-11-11","1750","8453"
"2019-11-12","1708","16399"
"2019-11-13","1750","16313"
"2019-11-14","1750","4906"
"2019-11-15","1724","16994"
"2019-11-18","1748","25970"
"2019-11-19","1730","26239"
"2019-11-20","1707","9307"
"2019-11-21","1720","1108"
"2019-11-22","1722","4365"
"2019-11-25","1721","15117"
"2019-11-28","1724","5749"
"2019-11-29","1725","20352"
"2019-12-02","1720","1682"
"2019-12-03","1731","18806"
"2019-12-04","1716","2795"
"2019-12-05","1720","1644"
"2019-12-06","1709","7563"
"2019-12-09","1720","5354"
"2019-12-10","1728","3693"
"2019-12-11","1730","19231"
"2019-12-12","1881","29781"
"2019-12-13","1899","19769"
"2019-12-16","1896","16506"
"2019-12-17","1897","11812"
"2019-12-18","1893","25401"
"2019-12-19","1886","13327"
"2019-12-20","1870","15795"
"2019-12-23","1815","9575"
"2019-12-24","1818","20628"
"2019-12-25","1820","9690"
"2019-12-26","1805","21354"
"2019-12-27","1769","7362"
"2019-12-30","1765","14919"
"2019-12-31","1766","15616"
"2020-01-02","1740","1288"
"2020-01-03","1752","3001"
"2020-01-06","1727","703"
"2020-01-07","1724","388"
"2020-01-08","1739","1656"
"2020-01-09","1739","520"
"2020-01-13","1659","1672"
"2020-01-14","1703","6539"
"2020-01-15","1705","6464"
"2020-01-16","1698","18078"
"2020-01-17","1670","6629"
"2020-01-20","1698","6759"
"2020-01-21","1686","442741"
"2020-01-22","1699","6726"
"2020-01-23","1675","3339"
"2020-01-24","1650","2349"
"2020-01-27","1600","1131"
"2020-01-28","1643","11511"
"2020-01-29","1612","828"
"2020-01-30","1599","5697"
"2020-01-31","1578","942"
"2020-02-03","1511","1036"
"2020-02-04","1530","11"
"2020-02-05","1530","20"
"2020-02-06","1530","301"
"2020-02-07","1525","972"
"2020-02-10","1530","245"
"2020-02-11","1530","1632"
"2020-02-12","1530","2317"
"2020-02-13","1500","133"
"2020-02-14","1475","3289"
"2020-02-17","1482","599"
"2020-02-18","1490","612"
"2020-02-19","1474","587"
"2020-02-20","1490","246"
"2020-02-21","1521","2075"
"2020-02-27","1519","6170"
"2020-02-28","1500","1496"
"2020-03-02","1470","2207"
"2020-03-03","1470","108"
"2020-03-04","1474","3290"
"2020-03-05","1474","46"
"2020-03-06","1469","4654"
"2020-03-09","1466","2148"
"2020-03-10","1450","6998"
"2020-03-11","1454","11124"
"2020-03-12","1454","7513"
"2020-03-13","1583","18465"
"2020-03-16","1549","1673"
"2020-03-17","1543","23624"
"2020-03-18","1499","17241"
"2020-03-19","1488","15221"
"2020-03-20","1509","22529"
"2020-03-23","1490","1110"
"2020-03-24","1500","3049"
"2020-03-26","1516","26603"
"2020-03-27","1550","14404"
"2020-03-30","1536","6791"
"2020-03-31","1517","304313"
"2020-04-01","1452","1671"
"2020-04-02","1501","31560"
"2020-04-03","1519","2352"
"2020-04-06","1510","3327"
"2020-04-07","1515","16912"
"2020-04-08","1519","2603"
"2020-04-09","1510","809"
"2020-04-10","1513","3121"
"2020-04-13","1502","3610"
"2020-04-14","1509","5593"
"2020-04-15","1509","4688"
"2020-04-16","1509","3671"
"2020-04-17","1508","5789"
"2020-04-20","1504","7183"
"2020-04-21","1503","5130"
"2020-04-22","1494","5569"
"2020-04-23","1502","4448"
"2020-04-24","1440","142"
"2020-04-27","1440","20"
"2020-04-28","1435","1336"
"2020-04-29","1480","6184"
"2020-05-01","1500","24"
"2020-05-04","1497","704"
"2020-05-05","1499","30790"
"2020-05-06","1498","1008"
"2020-05-07","1485","23751"
"2020-05-08","1391","47"
"2020-05-11","1360","3351"
"2020-05-12","1389","220"
"2020-05-13","1351","378"
"2020-05-14","1330","92"
"2020-05-15","1330","1020"
"2020-05-18","1345","81989"
"2020-05-19","1337","224"
"2020-05-20","1345","92886"
"2020-05-21","1334","1752"
"2020-05-22","1350","233"
"2020-05-25","1334","246"
"2020-05-26","1343","665"
"2020-05-27","1331","141"
"2020-05-28","1313","750"
"2020-05-29","1350","349"
"2020-06-02","1315","875"
"2020-06-03","1350","1203"
"2020-06-04","1391","4535"
"2020-06-08","1396","767"
"2020-06-09","1395","202"
"2020-06-10","1360","1457"
"2020-06-11","1395","7"
"2020-06-12","1350","906"
"2020-06-15","1341","2391"
"2020-06-16","1350","6"
"2020-06-17","1335","1103"
"2020-06-18","1312","1421"
"2020-06-19","1319","315"
"2020-06-22","1277","1862"
"2020-06-23","1319","162"
"2020-06-25","1319","6"
"2020-06-26","1250","2021"
"2020-06-29","1308","1627"
"2020-06-30","1299","6132"
"2020-07-01","1238","406"
"2020-07-02","1285","813"
"2020-07-03","1279","102"
"2020-07-06","1210","1620"
"2020-07-07","1170","5803"
"2020-07-08","1167","5893"
"2020-07-10","1130","851"
"2020-07-16","1146","1599"
"2020-07-17","1170","1362"
"2020-07-20","1210","2418"
"2020-07-21","1270","5345"
"2020-07-22","1240","3753"
"2020-07-23","1299","2870"
"2020-07-24","1302","2107"
"2020-07-27","1312","80"
"2020-07-28","1340","15497"
"2020-07-29","1270","856"
"2020-07-30","1298","512"
"2020-07-31","1250","57"
"2020-08-03","1250","524"
"2020-08-04","1243","14"
"2020-08-05","1240","38"
"2020-08-06","1240","65"
"2020-08-07","1249","135"
"2020-08-10","1244","166"
"2020-08-11","1238","1267"
"2020-08-12","1237","1733"
"2020-08-13","1238","793"
"2020-08-14","1199","4209"
"2020-08-17","1109","14135"
"2020-08-18","1184","6832"
"2020-08-19","1158","1348"
"2020-08-20","1098","5980"
"2020-08-21","1130","12830"
"2020-08-24","1100","255"
"2020-08-25","1033","3901"
"2020-08-26","1100","1681"
"2020-08-27","1044","1616"
"2020-08-28","1020","2000"
"2020-08-31","1029","1663"
"2020-09-01","1057","526"
"2020-09-02","1055","78"
"2020-09-03","1031","14103"
"2020-09-04","1022","3356"
"2020-09-07","1054","1860"
"2020-09-08","1046","93314"
"2020-09-09","1046","627"
"2020-09-10","1050","90079"
"2020-09-11","1050","4075"
"2020-09-14","1050","29621"
"2020-09-15","1097","52861"
"2020-09-16","1197","12116"
