"date","value","volume"
"2024-07-18","960.05","36454"
"2024-07-19","1064","145430"
"2024-07-22","1190","92280"
"2024-07-23","1149","67943"
"2024-07-24","1130","58707"
"2024-07-25","1119","51141"
"2024-07-26","1134","105090"
"2024-07-29","1142","22890"
"2024-07-30","1159","15282"
"2024-07-31","1165","21829"
"2024-08-01","1192","29645"
"2024-08-02","1188","16597"
"2024-08-05","1176","41668"
"2024-08-06","1160","76427"
"2024-08-07","1149","9094"
"2024-08-08","1147","5201"
"2024-08-09","1148","18683"
"2024-08-12","1147","52777"
"2024-08-13","1142","8298"
"2024-08-14","1139","8644"
"2024-08-15","1132","4862"
"2024-08-16","1125","17971"
"2024-08-19","1130","11931"
"2024-08-20","1129","569"
"2024-08-21","1125","11106"
"2024-08-22","1134","29228"
"2024-08-23","1134","30538"
"2024-08-26","1133","36187"
"2024-08-27","1132","31338"
"2024-08-28","1130","33665"
"2024-08-29","1146","56056"
"2024-08-30","1135","26873"
"2024-09-02","1125","128100"
"2024-09-03","1145","7197"
"2024-09-04","1140","6332"
"2024-09-05","1139","13349"
"2024-09-06","1133","16752"
"2024-09-09","1133","12689"
"2024-09-10","1130","23825"
"2024-09-11","1123","31028"
"2024-09-12","1123","9900"
"2024-09-13","1118","15037"
"2024-09-16","1115","33154"
"2024-09-17","1111","18123"
"2024-09-18","1110","2269"
"2024-09-19","1110","14203"
"2024-09-20","1111","23263"
"2024-09-23","1093","61859"
"2024-09-24","1087","20884"
"2024-09-25","1087","18491"
"2024-09-26","1087","2702"
"2024-09-27","1079","8099"
"2024-09-30","1087","16843"
"2024-10-02","1081","12738"
"2024-10-03","1087","14249"
"2024-10-04","1114","74463"
"2024-10-07","1087","81639"
"2024-10-08","1106","101677"
"2024-10-09","1087","26715"
"2024-10-10","1085","49689"
"2024-10-14","1084","59064"
"2024-10-15","1099","44712"
"2024-10-16","1083","60573"
"2024-10-17","1087","22624"
"2024-10-18","1100","59621"
"2024-10-21","1095","48056"
"2024-10-22","1108","103688"
"2024-10-23","1113","70113"
"2024-10-24","1135","49867"
"2024-10-25","1185","34034"
"2024-10-28","1180","28566"
"2024-10-29","1179","25056"
"2024-10-30","1168","28033"
"2024-10-31","1152","20804"
"2024-11-01","1156","4062"
"2024-11-04","1159","13315"
"2024-11-05","1158","8321"
"2024-11-06","1159","3731"
"2024-11-07","1159","105173"
"2024-11-08","1166","44994"
"2024-11-11","1157","33390"
"2024-11-12","1158","77410"
"2024-11-13","1158","16789"
"2024-11-14","1152","33037"
"2024-11-15","1160","42461"
"2024-11-18","1165","29855"
"2024-11-19","1167","26844"
"2024-11-20","1167","31071"
"2024-11-21","1160","38384"
"2024-11-22","1160","12452"
"2024-11-25","1154","16005"
"2024-11-27","1154","9818"
"2024-11-28","1154","28886"
"2024-11-29","1154","64519"
"2024-12-02","1165","37113"
"2024-12-03","1161","16715"
"2024-12-04","1164","13986"
"2024-12-05","1165","41411"
"2024-12-06","1170","96397"
"2024-12-09","1177","52745"
"2024-12-10","1175","13328"
"2024-12-11","1199","42850"
"2024-12-12","1211","24821"
"2024-12-13","1216","25820"
"2024-12-16","1219","13352"
"2024-12-17","1230","128443"
"2024-12-18","1230","14737"
"2024-12-19","1240","9466"
"2024-12-20","1243","25193"
"2024-12-23","1233","41207"
"2024-12-24","1240","24444"
"2024-12-25","1240","15097"
"2024-12-26","1243","22753"
"2024-12-27","1243","5028"
"2024-12-30","1242","23025"
"2024-12-31","1242","10858"
"2025-01-02","1241","6192"
"2025-01-03","1239","8927"
"2025-01-06","1232","21869"
"2025-01-07","1230","3118"
"2025-01-08","1218","22774"
